Тип;Неприсоединенная высота;Длина;Объем;Толщина;ADSK_Этаж;ADSK_Номер секции;Группа модели
BRU_ФасадШтукатурный_Утеплитель_150мм;470.0;605.0;0.04;150.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
ADSK_Бетон_В25 160;470.0;455.0;0.03;160.0;Этаж 08 (отм. +22,200);Секция 2;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;519.9;615.0;0.00;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_Парапет_Утеплитель_100мм;470.0;195.0;0.01;100.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;470.0;205.0;0.01;150.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
ADSK_Бетон_В25 160;470.0;365.0;0.03;160.0;Этаж 08 (отм. +22,200);Секция 2;Монолитная стена
BRU_Парапет_Утеплитель_100мм;470.0;365.0;0.02;100.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;50.0;95.0;0.00;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;520.0;45.0;0.00;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_Парапет_Утеплитель_100мм;470.0;3120.0;0.15;100.0;Этаж 08 (отм. +22,220) Кровля;Секция 2;Утепление штукатурного фасада
ADSK_Бетон_В25 160;470.0;3120.0;0.23;160.0;Этаж 08 (отм. +22,220) Кровля;Секция 2;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;520.0;3160.0;0.02;10.0;Этаж 08 (отм. +22,220) Кровля;Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;450.0;3120.0;0.21;150.0;Этаж 08 (отм. +22,220) Кровля;Секция 2;Утепление штукатурного фасада
BRU_Парапет_Утеплитель_100мм;470.0;300.0;0.01;100.0;Этаж 08 (отм. +22,200);Секция 3;Утепление штукатурного фасада
ADSK_Бетон_В25 160;470.0;300.0;0.02;160.0;Этаж 08 (отм. +22,200);Секция 3;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;520.0;300.0;0.00;10.0;Этаж 08 (отм. +22,200);Секция 3;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;470.0;300.0;0.02;150.0;Этаж 08 (отм. +22,200);Секция 3;Утепление штукатурного фасада
BRU_Парапет_Утеплитель_100мм;470.0;525.0;0.02;100.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
ADSK_Бетон_В25 160;470.0;705.0;0.05;160.0;Этаж 08 (отм. +22,200);Секция 2;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;178.1;525.0;0.00;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;520.0;955.0;0.00;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;470.0;785.0;0.06;150.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_170мм;470.0;935.0;0.07;170.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
ADSK_Бетон_В25 160;470.0;785.0;0.06;160.0;Этаж 08 (отм. +22,200);Секция 2;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;520.0;945.0;0.00;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_Парапет_Утеплитель_100мм;470.0;625.0;0.03;100.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;240.0;525.0;0.00;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_Парапет_Утеплитель_100мм;470.0;2760.0;0.13;100.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
ADSK_Бетон_В25 160;470.0;2500.0;0.19;160.0;Этаж 08 (отм. +22,200);Секция 2;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;125.1;2650.0;0.00;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;520.0;2660.0;0.01;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;470.0;2510.0;0.18;150.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;470.0;605.0;0.04;150.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
ADSK_Бетон_В25 160;470.0;455.0;0.03;160.0;Этаж 08 (отм. +22,200);Секция 2;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;520.0;615.0;0.00;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_Парапет_Утеплитель_100мм;470.0;195.0;0.01;100.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;470.0;205.0;0.01;150.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
ADSK_Бетон_В25 160;470.0;365.0;0.03;160.0;Этаж 08 (отм. +22,200);Секция 2;Монолитная стена
BRU_Парапет_Утеплитель_100мм;470.0;365.0;0.02;100.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;240.0;195.0;0.00;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;520.0;45.0;0.00;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_Парапет_Утеплитель_100мм;470.0;2760.0;0.13;100.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
ADSK_Бетон_В25 160;470.0;2500.0;0.19;160.0;Этаж 08 (отм. +22,200);Секция 2;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;125.1;2650.0;0.00;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;520.0;2660.0;0.01;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;470.0;2510.0;0.18;150.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;470.0;605.0;0.04;150.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
ADSK_Бетон_В25 160;470.0;455.0;0.03;160.0;Этаж 08 (отм. +22,200);Секция 2;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;520.0;615.0;0.00;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_Парапет_Утеплитель_100мм;470.0;195.0;0.01;100.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;470.0;205.0;0.01;150.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
ADSK_Бетон_В25 160;470.0;365.0;0.03;160.0;Этаж 08 (отм. +22,200);Секция 2;Монолитная стена
BRU_Парапет_Утеплитель_100мм;470.0;365.0;0.02;100.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;240.0;195.0;0.00;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
