Тип;Неприсоединенная высота;Длина;Объем;Толщина;ADSK_Этаж;ADSK_Номер секции;Группа модели
BRU_Отделка_Кладка_15мм;2820.000;3185.000;0.068;15.000;Этаж 05 (отм. +13,050);Секция 6;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.091;15.000;Этаж 05 (отм. +13,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;4820.000;0.133;15.000;Этаж 05 (отм. +13,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3200.000;0.068;15.000;Этаж 05 (отм. +13,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3185.000;0.068;15.000;Этаж 05 (отм. +13,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3185.000;0.070;15.000;Этаж 06 (отм. +16,050);Секция 1;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.074;15.000;Этаж 06 (отм. +16,050);Секция 1;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.076;15.000;Этаж 06 (отм. +16,050);Секция 1;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 1;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.074;15.000;Этаж 06 (отм. +16,050);Секция 1;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 1;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.067;15.000;Этаж 06 (отм. +16,050);Секция 1;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3185.000;0.091;15.000;Этаж 06 (отм. +16,050);Секция 1;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.073;15.000;Этаж 06 (отм. +16,050);Секция 1;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 1;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.067;15.000;Этаж 06 (отм. +16,050);Секция 1;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;4525.000;0.127;15.000;Этаж 06 (отм. +16,050);Секция 1;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;895.000;0.038;15.000;Этаж 06 (отм. +16,050);Секция 1;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3480.000;0.080;15.000;Этаж 06 (отм. +16,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3480.000;0.080;15.000;Этаж 06 (отм. +16,050);Секция 2;Штукатурка черновая
