Тип;Неприсоединенная высота;Длина;Объем;Толщина;ADSK_Этаж;ADSK_Номер секции;Группа модели
BRU_Перегородка_ГКЛ_125_ГСП-A(12,5)_x4;2820.0;2690.0;0.44;125.0;Этаж 05 (отм. +13,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_125_ГСП-A(12,5)_x4;2820.0;431.6;0.15;125.0;Этаж 05 (отм. +13,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_125_ГСП-A(12,5)_x4;2820.0;1465.0;0.52;125.0;Этаж 05 (отм. +13,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820.0;2112.5;0.50;125.0;Этаж 05 (отм. +13,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820.0;1720.0;0.61;125.0;Этаж 05 (отм. +13,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_125_ГСП-A(12,5)_x4;2820.0;910.0;0.32;125.0;Этаж 06 (отм. +16,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_125_ГСП-A(12,5)_x4;2820.0;2690.0;0.44;125.0;Этаж 06 (отм. +16,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_125_ГСП-A(12,5)_x4;2820.0;431.6;0.15;125.0;Этаж 06 (отм. +16,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_125_ГСП-A(12,5)_x4;2820.0;1465.0;0.52;125.0;Этаж 06 (отм. +16,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820.0;2112.5;0.50;125.0;Этаж 06 (отм. +16,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820.0;1720.0;0.61;125.0;Этаж 06 (отм. +16,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;290.0;0.10;120.0;Этаж 06 (отм. +16,050);Секция 5;Перегородка. Кладка
BRU_ОтделкаПомещений_Утеплитель_50мм;2820.0;900.0;0.13;50.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 1;Штукатурка черновая
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;2950.0;50.0;0.04;250.0;Этаж -01 (отм. -3,820) Тех.этаж;Паркинг;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;680.0;0.23;120.0;Этаж 07 (отм. +19,050);Секция 1;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;655.0;0.22;120.0;Этаж 08 (отм. +22,050);Секция 3;Перегородка. Кладка
BRU_ОтделкаПомещений_Утеплитель_50мм;2820.0;900.0;0.13;50.0;Этаж -01 (отм. -3,820) Тех.этаж;Секция 1;Штукатурка черновая
BRU_Обшивка_ГКЛ_75_ГСП-A(12,5)_x2;2820.0;10667.5;1.32;75.0;Этаж 03 (отм. +7,050);Секция 3;Обшивка ГКЛ
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;2820.0;2400.0;1.69;250.0;Этаж 03 (отм. +7,050);Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;2820.0;1555.0;1.01;250.0;Этаж 03 (отм. +7,050);Секция 3;Внутренняя стена. Кладка
BRU_Обшивка_ГКЛ_75_ГСП-A(12,5)_x2;2820.0;20375.0;3.38;75.0;Этаж 03 (отм. +7,050);Секция 3;Обшивка ГКЛ
BRU_Обшивка_ГКЛ_75_ГСП-A(12,5)_x2;2820.0;1575.0;0.32;75.0;Этаж 03 (отм. +7,050);Секция 3;Обшивка ГКЛ
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;335.0;0.11;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;2820.0;2690.0;1.90;250.0;Этаж 03 (отм. +7,050);Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;2820.0;2690.0;1.90;250.0;Этаж 03 (отм. +7,050);Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;2820.0;910.0;0.64;250.0;Этаж 03 (отм. +7,050);Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;2820.0;910.0;0.64;250.0;Этаж 03 (отм. +7,050);Секция 3;Внутренняя стена. Кладка
BRU_Обшивка_ГКЛ_75_ГСП-A(12,5)_x2;2820.0;1575.0;0.35;75.0;Этаж 03 (отм. +7,050);Секция 3;Обшивка ГКЛ
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;2820.0;1555.0;1.01;250.0;Этаж 03 (отм. +7,050);Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;3192.5;1.07;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;330.0;0.11;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;330.0;0.11;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;1860.0;0.63;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;3185.0;1.07;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
BRU_Обшивка_ГКЛ_75_ГСП-A(12,5)_x2;2820.0;6657.5;1.17;75.0;Этаж 03 (отм. +7,050);Секция 3;Обшивка ГКЛ
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;3192.5;1.07;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;1852.5;0.63;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;2820.0;2690.0;1.90;250.0;Этаж 03 (отм. +7,050);Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;2820.0;910.0;0.64;250.0;Этаж 03 (отм. +7,050);Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;2820.0;1930.0;1.36;250.0;Этаж 03 (отм. +7,050);Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;330.0;0.11;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;330.0;0.11;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;2000.0;0.62;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;2820.0;1645.0;1.07;250.0;Этаж 03 (отм. +7,050);Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;2820.0;1930.0;1.36;250.0;Этаж 03 (отм. +7,050);Секция 3;Внутренняя стена. Кладка
BRU_Обшивка_ГКЛ_75_ГСП-A(12,5)_x2;2820.0;1270.0;0.26;75.0;Этаж 03 (отм. +7,050);Секция 3;Обшивка ГКЛ
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;2820.0;440.0;0.31;250.0;Этаж 03 (отм. +7,050);Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;330.0;0.11;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;330.0;0.11;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;290.0;0.10;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;3185.0;1.07;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;330.0;0.11;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;330.0;0.11;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;335.0;0.11;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;1852.5;0.62;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;1852.5;0.62;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;267.5;0.09;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;2820.0;295.0;0.30;250.0;Этаж 03 (отм. +7,050);Секция 3;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;2820.0;1520.0;1.07;250.0;Этаж 03 (отм. +7,050);Секция 3;Внутренняя стена. Кладка
BRU_Зашивка_ГКЛ_75_ГСП-A(12,5)_x2;2820.0;1270.0;0.26;75.0;Этаж 03 (отм. +7,050);Секция 3;Обшивка ГКЛ
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;1860.0;0.62;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;330.0;0.11;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;330.0;0.11;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;2820.0;282.5;0.10;120.0;Этаж 03 (отм. +7,050);Секция 3;Перегородка. Кладка
